City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,Le four à pain
4,Berlevag,NO,62.4,light rain,70.8578,29.0864,Kvitbrakka
6,Ribeira Grande,PT,75.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
8,Lorengau,PG,82.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
11,Yellowknife,CA,72.12,few clouds,62.456,-114.3525,The Explorer Hotel
14,Port Alfred,ZA,65.39,few clouds,-33.5906,26.891,The Halyards Hotel
16,Heers,BE,63.61,broken clouds,50.75,5.3,B&B De Henehoeve
17,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
19,Borovskoy,KZ,63.79,light rain,53.8,64.15,Аренда жилья/Баня
25,Nongstoin,IN,62.96,broken clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
26,Vaini,TO,73.51,overcast clouds,-21.2,-175.2,Keleti Beach Resort
27,Melfi,IT,73.49,few clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
29,Cap Malheureux,MU,68.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
30,Nikolskoye,RU,64.78,overcast clouds,59.7035,30.7861,Tourist House - Sablino
31,Naukot,PK,80.76,overcast clouds,24.8587,69.4024,Rolak Sigrat Shop
32,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
33,Hithadhoo,MV,79.75,moderate rain,-0.6,73.0833,Scoop Guest House
38,Jiuquan,CN,74.73,few clouds,39.7432,98.5174,Jiuquan Hotel
39,Bethel,US,84.34,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
40,Carutapera,BR,78.37,overcast clouds,-1.195,-46.02,Lidera
41,Sao Joao Da Barra,BR,73.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
44,Beaverlodge,CA,79.95,clear sky,55.2166,-119.4361,Side Trax Inn
45,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
46,Albany,US,79.57,overcast clouds,42.6001,-73.9662,
49,Rikitea,PF,75.4,broken clouds,-23.1203,-134.9692,People ThankYou
51,Mwandiga,TZ,72.27,few clouds,-4.83,29.6581,Kigoma Highland Motel
52,Norman Wells,CA,82.44,broken clouds,65.282,-126.8329,Heritage Hotel
55,Brainerd,US,71.85,mist,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
57,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
58,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Novotel Dakar
60,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
62,Tocopilla,CL,62.74,scattered clouds,-22.092,-70.1979,Hotel Galvarino
63,Aklavik,CA,65.37,overcast clouds,68.2191,-135.0107,Aklavik Inn
65,Alyangula,AU,71.06,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
68,Meulaboh,ID,74.46,light rain,4.1363,96.1285,Kost Pria
71,Porto Walter,BR,77.36,overcast clouds,-8.2686,-72.7439,Hotel Silva
72,Khatanga,RU,69.1,overcast clouds,71.9667,102.5,"""Khatanga"""
73,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Belmonte,BR,71.42,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
77,Shaoyang,CN,76.42,overcast clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
78,Jamestown,US,79.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
79,Port-Gentil,GA,74.19,broken clouds,-0.7193,8.7815,Fengshui Residence
82,East London,ZA,63.77,few clouds,-33.0153,27.9116,Tu Casa
83,Jiaozuo,CN,76.01,clear sky,35.2397,113.2331,Days Hotel and Suites Jiaozuo
84,Sambava,MG,66.6,few clouds,-14.2667,50.1667,Melrose
85,Tuktoyaktuk,CA,62.6,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
88,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Cidreira,BR,61.48,scattered clouds,-30.1811,-50.2056,Hotel Castelo
90,Oyem,GA,66.72,overcast clouds,1.5995,11.5793,Commissariat de police
91,Guarapari,BR,69.85,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
93,Hingoli,IN,74.19,overcast clouds,19.7167,77.15,Hotel RW International
94,Jalu,LY,84.67,clear sky,29.0331,21.5482,صاحبة الفخامة
97,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
99,Laiyang,CN,73.22,overcast clouds,36.9758,120.7136,莱阳恒银宾馆
100,Filadelfia,US,82.71,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
102,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
103,Sao Filipe,CV,77.85,overcast clouds,14.8961,-24.4956,Hotel Xaguate
105,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
106,Kango,GA,74.55,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
107,Fortuna,US,71.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
108,Akcaabat,TR,71.47,clear sky,41.0212,39.5715,AKOF APART
109,Port Hardy,CA,68.18,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
115,Katsuura,JP,80.49,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
116,Methoni,GR,84.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
117,Chalons-En-Champagne,FR,66.27,overcast clouds,48.9539,4.3672,Hotel D'Angleterre
118,Carnarvon,AU,61.88,clear sky,-24.8667,113.6333,Hospitality Carnarvon
119,Thompson,CA,64.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
121,Georgetown,MY,80.89,thunderstorm,5.4112,100.3354,Cititel Penang
122,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
129,Palmer,US,81.25,broken clouds,42.1584,-72.3287,Wedgewood Motel
130,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
131,Sobolevo,RU,61.25,clear sky,54.4299,31.8996,
141,Bayan,CN,73.56,few clouds,46.0833,127.4,Wanhao Inn
142,Sioux Lookout,CA,71.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
143,Wewak,PG,78.15,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
146,Elizabeth City,US,78.06,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
147,Konstantinovka,RU,76.17,broken clouds,49.6167,127.9833,
148,Stonewall,CA,75.7,scattered clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
150,Butaritari,KI,82.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
151,Saint Anthony,US,78.1,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
153,Ponta Do Sol,PT,81.23,clear sky,32.6667,-17.1,Hotel do Campo
