City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,68.38,88,40,6.91,scattered clouds
1,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,26,9.91,light rain
2,Busselton,AU,-33.65,115.3333,48.27,85,8,6.82,clear sky
3,Ushuaia,AR,-54.8,-68.3,31.66,74,20,1.14,few clouds
4,Berlevag,NO,70.8578,29.0864,62.4,88,100,4.61,light rain
5,Buraydah,SA,26.326,43.975,97.25,16,82,5.03,broken clouds
6,Ribeira Grande,PT,38.5167,-28.7,75.0,82,35,6.33,scattered clouds
7,Kruisfontein,ZA,-34.0033,24.7314,55.89,47,40,7.45,scattered clouds
8,Lorengau,PG,-2.0226,147.2712,82.71,77,86,9.55,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,41.16,93,100,1.57,overcast clouds
10,Talnakh,RU,69.4865,88.3972,52.21,65,33,5.61,scattered clouds
11,Yellowknife,CA,62.456,-114.3525,72.12,46,20,6.91,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
13,Hilo,US,19.7297,-155.09,85.28,94,75,8.05,mist
14,Port Alfred,ZA,-33.5906,26.891,65.39,45,14,5.01,few clouds
15,Bredasdorp,ZA,-34.5322,20.0403,50.68,94,78,5.91,broken clouds
16,Heers,BE,50.75,5.3,63.61,79,75,5.75,broken clouds
17,Atuona,PF,-9.8,-139.0333,77.29,76,10,16.93,clear sky
18,Bolu,TR,40.6667,31.5833,59.59,84,0,2.77,clear sky
19,Borovskoy,KZ,53.8,64.15,63.79,88,100,11.65,light rain
20,Kodiak,US,57.79,-152.4072,53.11,71,0,8.05,clear sky
21,Flinders,AU,-34.5833,150.8552,51.19,68,4,11.99,clear sky
22,Ahipara,NZ,-35.1667,173.1667,57.02,75,98,14.27,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,47.8,87,75,5.68,broken clouds
24,Pevek,RU,69.7008,170.3133,34.65,84,79,7.49,broken clouds
25,Nongstoin,IN,25.5167,91.2667,62.96,97,74,1.21,broken clouds
26,Vaini,TO,-21.2,-175.2,73.51,72,100,12.88,overcast clouds
27,Melfi,IT,40.9965,15.6514,73.49,69,19,3.15,few clouds
28,Te Anau,NZ,-45.4167,167.7167,42.28,98,100,3.06,overcast clouds
29,Cap Malheureux,MU,-19.9842,57.6142,68.47,77,2,3.0,clear sky
30,Nikolskoye,RU,59.7035,30.7861,64.78,86,94,5.53,overcast clouds
31,Naukot,PK,24.8587,69.4024,80.76,85,100,8.34,overcast clouds
32,Hue,VN,16.4667,107.6,78.91,83,40,3.44,scattered clouds
33,Hithadhoo,MV,-0.6,73.0833,79.75,79,100,14.27,moderate rain
34,Esna,EG,25.2934,32.554,89.71,15,0,8.34,clear sky
35,Deniliquin,AU,-35.5333,144.9667,48.34,85,78,10.78,broken clouds
36,Chuy,UY,-33.6971,-53.4616,58.8,97,94,6.4,overcast clouds
37,Nanortalik,GL,60.1432,-45.2371,44.91,91,77,4.25,broken clouds
38,Jiuquan,CN,39.7432,98.5174,74.73,18,23,14.67,few clouds
39,Bethel,US,41.3712,-73.414,84.34,48,0,6.91,clear sky
40,Carutapera,BR,-1.195,-46.02,78.37,82,98,8.1,overcast clouds
41,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,86,23,11.61,few clouds
42,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.24,87,100,4.61,light rain
43,Rognan,NO,67.0953,15.3878,55.76,35,100,5.64,light rain
44,Beaverlodge,CA,55.2166,-119.4361,79.95,40,2,4.05,clear sky
45,Bairiki,KI,1.3292,172.9752,82.4,78,40,13.8,light rain
46,Albany,US,42.6001,-73.9662,79.57,51,96,7.99,overcast clouds
47,Bambamarca,PE,-6.6833,-78.5333,54.86,86,100,5.21,light rain
48,Tilichiki,RU,60.4667,166.1,56.01,66,100,3.65,overcast clouds
49,Rikitea,PF,-23.1203,-134.9692,75.4,73,70,12.15,broken clouds
50,Tamayo,DO,18.3947,-71.2029,91.11,70,20,14.97,few clouds
51,Mwandiga,TZ,-4.83,29.6581,72.27,64,13,2.77,few clouds
52,Norman Wells,CA,65.282,-126.8329,82.44,32,75,5.75,broken clouds
53,Gold Coast,AU,-28.0,153.4333,54.03,73,0,0.0,clear sky
54,Umm Lajj,SA,25.0213,37.2685,85.69,64,14,5.48,few clouds
55,Brainerd,US,46.358,-94.2008,71.85,88,100,8.05,mist
56,Kahului,US,20.8947,-156.47,87.82,64,20,23.02,few clouds
57,Urumqi,CN,43.801,87.6005,74.35,33,0,6.71,clear sky
58,Dakar,SN,14.6937,-17.4441,82.53,78,40,13.8,scattered clouds
59,Perth,AU,-31.9333,115.8333,55.58,95,40,8.05,scattered clouds
60,Avarua,CK,-21.2078,-159.775,75.25,60,75,11.5,broken clouds
61,Hobart,AU,-42.8794,147.3294,43.05,96,20,1.14,few clouds
62,Tocopilla,CL,-22.092,-70.1979,62.74,75,36,11.12,scattered clouds
63,Aklavik,CA,68.2191,-135.0107,65.37,36,100,17.76,overcast clouds
64,Biltine,TD,14.5333,20.9167,87.55,44,100,11.74,overcast clouds
65,Alyangula,AU,-13.8483,136.4192,71.06,69,0,16.58,clear sky
66,Nuevo Progreso,MX,23.1667,-97.95,93.54,49,52,10.0,broken clouds
67,Krasnoselkup,RU,65.7,82.4667,54.59,73,13,9.71,few clouds
68,Meulaboh,ID,4.1363,96.1285,74.46,91,100,5.28,light rain
69,Constitucion,CL,-35.3333,-72.4167,52.9,92,93,7.25,overcast clouds
70,Emerald,AU,-23.5333,148.1667,48.34,76,0,17.45,clear sky
71,Porto Walter,BR,-8.2686,-72.7439,77.36,83,94,2.59,overcast clouds
72,Khatanga,RU,71.9667,102.5,69.1,54,85,8.43,overcast clouds
73,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,100,5.01,overcast clouds
